Year,Disaster Group,Disaster Subgroup,Disaster Type,ISO,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damages ('000 US$),CPI,Magnitude,Magnitude Scale
2000,Technological,Transport,Road,PER,,,2000,1.0,1.0,2000,1.0,1.0,29.0,7.0,,,7.0,,56.51429055927763,,nan
2000,Natural,Climatological,Wildfire,ZAF,,,2000,1.0,15.0,2000,1.0,19.0,,,1000.0,250.0,1250.0,17695.0,56.51429055927763,,Km2
2000,Technological,Transport,Road,ZAF,,,2000,1.0,23.0,2000,1.0,23.0,30.0,50.0,,,50.0,,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,BRA,,,2000,1.0,1.0,2000,1.0,6.0,26.0,,,70000.0,70000.0,,56.51429055927763,350000.0,Km2
2000,Natural,Meteorological,Extreme temperature,IND,,,2000,1.0,,2000,1.0,,275.0,,,,,,56.51429055927763,,°C
2000,Natural,Meteorological,Storm,USA,,,2000,1.0,2.0,2000,1.0,4.0,1.0,12.0,,150.0,162.0,371587.0,56.51429055927763,,Kph
2000,Natural,Geophysical,Earthquake,BGD,21.431,91.762,2000,1.0,2.0,2000,1.0,2.0,,,1000.0,,1000.0,,56.51429055927763,4.3,Moment Magnitude
2000,Technological,Transport,Rail,NOR,,,2000,1.0,4.0,2000,1.0,4.0,19.0,30.0,,,30.0,,56.51429055927763,,nan
2000,Technological,Transport,Air,CIV,,,2000,1.0,30.0,2000,1.0,30.0,169.0,10.0,,,10.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,CHN,,,2000,1.0,28.0,2000,1.0,28.0,21.0,,,,,,56.51429055927763,,nan
2000,Technological,Transport,Road,IND,,,2000,1.0,30.0,2000,1.0,30.0,18.0,,,,,,56.51429055927763,,nan
2000,Natural,Meteorological,Storm,ROU,,,2000,1.0,,2000,1.0,,14.0,,,300.0,300.0,,56.51429055927763,,Kph
2000,Natural,Meteorological,Extreme temperature,BGR,,,2000,1.0,,2000,1.0,,,,,,,,56.51429055927763,,°C
2000,Technological,Transport,Rail,IND,,,2000,1.0,9.0,2000,1.0,9.0,10.0,,,,,,56.51429055927763,,nan
2000,Technological,Transport,Air,LBY,,,2000,1.0,13.0,2000,1.0,13.0,23.0,18.0,,,18.0,,56.51429055927763,,nan
2000,Technological,Transport,Air,CHE,,,2000,1.0,10.0,2000,1.0,10.0,10.0,,,,,,56.51429055927763,,nan
2000,Natural,Geophysical,Earthquake,CHN,25.607,101.063,2000,1.0,14.0,2000,1.0,14.0,7.0,2528.0,1760000.0,92479.0,1855007.0,130056.0,56.51429055927763,5.9,Moment Magnitude
2000,Technological,Industrial accident,Collapse (Industrial),CHN,,,2000,1.0,11.0,2000,1.0,11.0,22.0,,,,,,56.51429055927763,,m3
2000,Technological,Transport,Air,USA,,,2000,1.0,31.0,2000,1.0,31.0,88.0,,,,,,56.51429055927763,,nan
2000,Natural,Geophysical,Earthquake,CHN,24.263,103.797,2000,1.0,26.0,2000,1.0,26.0,1.0,2.0,10300.0,,10302.0,855.0,56.51429055927763,4.9,Moment Magnitude
2000,Natural,Meteorological,Storm,REU,,,2000,1.0,30.0,2000,1.0,30.0,2.0,,,600.0,600.0,,56.51429055927763,153.0,Kph
2000,Natural,Hydrological,Flood,PHL,,,2000,1.0,28.0,2000,2.0,1.0,50.0,,153885.0,,153885.0,7219.0,56.51429055927763,16700.0,Km2
2000,Technological,Miscellaneous accident,Collapse (Miscellaneous),ESP,,,2000,2.0,3.0,2000,2.0,3.0,,163.0,,,163.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,PAK,,,2000,2.0,2.0,2000,2.0,2.0,11.0,30.0,,,30.0,,56.51429055927763,,nan
2000,Natural,Geophysical,Earthquake,CHN,40.498,122.994,2000,1.0,11.0,2000,1.0,11.0,,30.0,44000.0,18000.0,62030.0,,56.51429055927763,5.1,Moment Magnitude
2000,Technological,Transport,Rail,DEU,,,2000,2.0,6.0,2000,2.0,6.0,9.0,100.0,,,100.0,,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,ZAF,,,2000,1.0,26.0,2000,3.0,27.0,83.0,,,200.0,200.0,283114.0,56.51429055927763,,Km2
2000,Technological,Miscellaneous accident,Fire (Miscellaneous),ETH,,,2000,2.0,7.0,2000,2.0,7.0,,,,550.0,550.0,3893.0,56.51429055927763,,nan
2000,Technological,Industrial accident,Fire (Industrial),NGA,,,2000,2.0,7.0,2000,2.0,7.0,17.0,20.0,,,20.0,,56.51429055927763,,m3
2000,Technological,Transport,Road,MAR,,,2000,2.0,8.0,2000,2.0,8.0,14.0,4.0,,,4.0,,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,BWA,,,2000,2.0,,2000,2.0,,3.0,,106776.0,32000.0,138776.0,8847.0,56.51429055927763,,Km2
2000,Technological,Miscellaneous accident,Explosion (Miscellaneous),RUS,,,2000,2.0,8.0,2000,2.0,8.0,13.0,9.0,,,9.0,,56.51429055927763,,nan
2000,Natural,Meteorological,Storm,MNG,,,2000,1.0,,2000,4.0,,4.0,,500000.0,,500000.0,141557.0,56.51429055927763,,Kph
2000,Natural,Geophysical,Earthquake,IRN,35.288,58.218,2000,2.0,2.0,2000,2.0,2.0,1.0,15.0,1500.0,500.0,2015.0,,56.51429055927763,5.3,Moment Magnitude
2000,Natural,Biological,Epidemic,RUS,,,2000,1.0,,2000,1.0,,,,564.0,,564.0,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,COG,,,2000,1.0,,2000,1.0,,24.0,,,,,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,AFG,,,2000,1.0,,2000,1.0,,507.0,,,,,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,ETH,,,2000,1.0,,2000,1.0,,27.0,,100.0,,100.0,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,TZA,,,2000,1.0,8.0,2000,1.0,8.0,16.0,,254.0,,254.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,SOM,,,2000,1.0,1.0,2000,4.0,21.0,230.0,,2232.0,,2232.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,LSO,,,2000,1.0,7.0,2000,1.0,7.0,28.0,,1834.0,,1834.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,KEN,,,2000,1.0,,2000,1.0,,10.0,,40.0,,40.0,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,KEN,,,2000,1.0,6.0,2000,1.0,6.0,3.0,,189.0,,189.0,,56.51429055927763,,nan
2000,Technological,Transport,Water,UGA,,,2000,2.0,11.0,2000,2.0,11.0,22.0,,,,,,56.51429055927763,,nan
2000,Natural,Geophysical,Earthquake,IRN,35.217,58.175,2000,2.0,14.0,2000,2.0,14.0,,,1000.0,,1000.0,,56.51429055927763,4.9,Moment Magnitude
2000,Natural,Hydrological,Flood,PHL,,,2000,1.0,22.0,2000,1.0,22.0,,,,5250.0,5250.0,,56.51429055927763,3.0,Km2
2000,Natural,Meteorological,Storm,USA,,,2000,2.0,13.0,2000,2.0,14.0,22.0,100.0,900.0,,1000.0,,56.51429055927763,249.0,Kph
2000,Technological,Transport,Road,VNM,,,2000,2.0,14.0,2000,2.0,14.0,57.0,11.0,,,11.0,,56.51429055927763,,nan
2000,Technological,Transport,Water,ITA,,,2000,2.0,14.0,2000,2.0,14.0,13.0,,,,,,56.51429055927763,,nan
2000,Technological,Transport,Road,THA,,,2000,2.0,16.0,2000,2.0,16.0,23.0,37.0,,,37.0,,56.51429055927763,,nan
2000,Natural,Hydrological,Mass movement (wet),BIH,,,2000,2.0,10.0,2000,2.0,10.0,6.0,3.0,400.0,,403.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,TZA,,,2000,1.0,1.0,2000,1.0,1.0,4.0,,114.0,,114.0,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,TZA,,,2000,2.0,11.0,2000,2.0,11.0,8.0,,200.0,,200.0,,56.51429055927763,,Vaccinated
2000,Natural,Geophysical,Earthquake,ISL,63.98,-20.758,2000,6.0,21.0,2000,6.0,21.0,,,72.0,36.0,108.0,21234.0,56.51429055927763,6.5,Moment Magnitude
2000,Technological,Miscellaneous accident,Fire (Miscellaneous),IND,,,2000,2.0,19.0,2000,2.0,19.0,18.0,23.0,,,23.0,,56.51429055927763,,nan
2000,Technological,Transport,Air,IRN,,,2000,2.0,2.0,2000,2.0,2.0,10.0,,,,,,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,NAM,,,2000,2.0,,2000,2.0,,,,5000.0,,5000.0,,56.51429055927763,,Km2
2000,Natural,Hydrological,Flood,USA,,,2000,2.0,18.0,2000,2.0,22.0,3.0,,231.0,,231.0,,56.51429055927763,55000.0,Km2
2000,Natural,Geophysical,Earthquake,COL,7.042,-77.829,2000,11.0,8.0,2000,11.0,8.0,2.0,,430.0,,430.0,,56.51429055927763,6.5,Moment Magnitude
2000,Natural,Hydrological,Mass movement (wet),IDN,,,2000,2.0,22.0,2000,2.0,24.0,34.0,,,,,20526.0,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,ZWE,,,2000,1.0,26.0,2000,3.0,27.0,70.0,,200000.0,66000.0,266000.0,128994.0,56.51429055927763,295.0,Km2
2000,Technological,Transport,Air,THA,,,2000,2.0,25.0,2000,2.0,25.0,11.0,,,,,,56.51429055927763,,nan
2000,Technological,Transport,Road,CHN,,,2000,2.0,24.0,2000,2.0,24.0,21.0,27.0,,,27.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,SOM,,,2000,2.0,,2000,2.0,,54.0,,,,,,56.51429055927763,,Vaccinated
2000,Technological,Transport,Road,THA,,,2000,2.0,27.0,2000,2.0,27.0,12.0,30.0,,,30.0,,56.51429055927763,,nan
2000,Natural,Geophysical,Volcanic activity,PHL,13.257,123.685,2000,2.0,24.0,2000,3.0,9.0,,,68426.0,,68426.0,3918.0,56.51429055927763,,nan
2000,Natural,Meteorological,Extreme temperature,EGY,,,2000,1.0,,2000,1.0,,3.0,105.0,,,105.0,,56.51429055927763,2.0,°C
2000,Technological,Miscellaneous accident,Fire (Miscellaneous),CHN,,,2000,1.0,27.0,2000,1.0,27.0,10.0,16.0,,,16.0,,56.51429055927763,,nan
2000,Natural,Meteorological,Storm,ISR,,,2000,1.0,19.0,2000,1.0,19.0,3.0,,410.0,,410.0,4866.0,56.51429055927763,100.0,Kph
2000,Natural,Meteorological,Storm,JOR,,,2000,1.0,24.0,2000,1.0,24.0,9.0,200.0,,,200.0,,56.51429055927763,80.0,Kph
2000,Natural,Hydrological,Flood,SWZ,,,2000,1.0,,2000,1.0,,,,272000.0,,272000.0,88.0,56.51429055927763,,Km2
2000,Natural,Meteorological,Storm,AUS,,,2000,2.0,27.0,2000,3.0,13.0,1.0,,200.0,,200.0,159252.0,56.51429055927763,120.0,Kph
2000,Natural,Hydrological,Flood,COL,,,2000,2.0,,2000,2.0,,8.0,,,39000.0,39000.0,,56.51429055927763,,Km2
2000,Technological,Transport,Rail,MAR,,,2000,3.0,1.0,2000,3.0,1.0,34.0,11.0,,,11.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,SDN,,,2000,1.0,1.0,2000,3.0,31.0,186.0,,2363.0,,2363.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,IDN,,,2000,3.0,6.0,2000,3.0,6.0,26.0,31.0,,,31.0,,56.51429055927763,,nan
2000,Technological,Industrial accident,Explosion (Industrial),CHN,,,2000,2.0,9.0,2000,2.0,9.0,16.0,,,,,,56.51429055927763,,m3
2000,Natural,Hydrological,Flood,ZMB,,,2000,3.0,3.0,2000,3.0,4.0,,,12000.0,,12000.0,,56.51429055927763,8500.0,Km2
2000,Natural,Climatological,Wildfire,ETH,,,2000,2.0,,2000,2.0,,,5.0,,,5.0,,56.51429055927763,970.0,Km2
2000,Technological,Transport,Road,PRY,,,2000,3.0,6.0,2000,3.0,6.0,37.0,10.0,,,10.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,PAK,,,2000,3.0,6.0,2000,3.0,6.0,55.0,35.0,,,35.0,,56.51429055927763,,nan
2000,Natural,Meteorological,Storm,MDG,,,2000,2.0,17.0,2000,3.0,11.0,130.0,,736937.0,,736937.0,15925.0,56.51429055927763,,Kph
2000,Natural,Meteorological,Storm,MOZ,,,2000,2.0,18.0,2000,2.0,23.0,17.0,,,,,1769.0,56.51429055927763,,Kph
2000,Natural,Biological,Epidemic,IDN,,,2000,1.0,,2000,1.0,,10.0,,1516.0,,1516.0,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,NGA,,,2000,1.0,,2000,1.0,,12.0,,,,,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,MOZ,,,2000,1.0,,2000,1.0,,11.0,,1810.0,,1810.0,,56.51429055927763,,Vaccinated
2000,Natural,Geophysical,Earthquake,MEX,18.198,-102.48,2000,8.0,9.0,2000,8.0,9.0,,1.0,,,1.0,,56.51429055927763,6.5,Moment Magnitude
2000,Technological,Transport,Road,NGA,,,2000,3.0,8.0,2000,3.0,8.0,13.0,40.0,,,40.0,,56.51429055927763,,nan
2000,Technological,Miscellaneous accident,Fire (Miscellaneous),TUV,,,2000,3.0,9.0,2000,3.0,9.0,18.0,,,,,,56.51429055927763,,nan
2000,Technological,Miscellaneous accident,Explosion (Miscellaneous),CHN,,,2000,2.0,17.0,2000,2.0,17.0,11.0,30.0,,,30.0,,56.51429055927763,,nan
2000,Technological,Industrial accident,Chemical spill,BRA,,,2000,1.0,18.0,2000,1.0,18.0,,,,,,,56.51429055927763,,m3
2000,Natural,Hydrological,Flood,ARG,,,2000,3.0,9.0,2000,3.0,17.0,7.0,,,6000.0,6000.0,,56.51429055927763,,Km2
2000,Natural,Climatological,Wildfire,IDN,,,2000,2.0,,2000,2.0,,,,,,,,56.51429055927763,,Km2
2000,Natural,Hydrological,Flood,MWI,,,2000,3.0,,2000,3.0,,,,20000.0,,20000.0,1769.0,56.51429055927763,,Km2
2000,Natural,Biological,Epidemic,PAK,,,2000,3.0,,2000,3.0,,95.0,,,,,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,COD,,,2000,1.0,15.0,2000,1.0,15.0,16.0,,62.0,,62.0,,56.51429055927763,,Vaccinated
2000,Technological,Industrial accident,Chemical spill,HUN,,,2000,1.0,30.0,2000,1.0,30.0,,,,,,,56.51429055927763,,m3
2000,Technological,Industrial accident,Chemical spill,ROU,,,2000,1.0,30.0,2000,1.0,30.0,,,,,,,56.51429055927763,100000.0,m3
2000,Technological,Industrial accident,Chemical spill,ROU,,,2000,3.0,10.0,2000,3.0,10.0,,,,,,,56.51429055927763,,m3
2000,Technological,Miscellaneous accident,Explosion (Miscellaneous),CHN,,,2000,3.0,29.0,2000,3.0,29.0,38.0,30.0,,,30.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,EGY,,,2000,3.0,16.0,2000,3.0,16.0,10.0,5.0,,,5.0,,56.51429055927763,,nan
2000,Natural,Climatological,Wildfire,USA,,,2000,2.0,26.0,2000,2.0,26.0,,,600.0,,600.0,,56.51429055927763,113.0,Km2
2000,Natural,Hydrological,Flood,PER,,,2000,3.0,16.0,2000,3.0,16.0,22.0,,,50.0,50.0,,56.51429055927763,,Km2
2000,Natural,Hydrological,Flood,BOL,,,2000,3.0,13.0,2000,3.0,15.0,,,7000.0,,7000.0,,56.51429055927763,750.0,Km2
2000,Natural,Biological,Epidemic,TCD,,,2000,1.0,,2000,1.0,,602.0,,4500.0,,4500.0,,56.51429055927763,,nan
2000,Technological,Miscellaneous accident,Explosion (Miscellaneous),TZA,,,2000,3.0,20.0,2000,3.0,20.0,33.0,40.0,,,40.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,COD,,,2000,1.0,,2000,1.0,,10.0,,1.0,,1.0,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,ETH,,,2000,1.0,1.0,2000,3.0,31.0,14.0,,149.0,,149.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,TZA,,,2000,1.0,1.0,2000,1.0,1.0,9.0,,330.0,,330.0,,56.51429055927763,,Vaccinated
2000,Technological,Transport,Road,NGA,,,2000,3.0,21.0,2000,3.0,21.0,37.0,,,,,,56.51429055927763,,nan
2000,Technological,Industrial accident,Explosion (Industrial),NGA,,,2000,3.0,22.0,2000,3.0,22.0,50.0,,,,,,56.51429055927763,,m3
2000,Technological,Transport,Road,THA,,,2000,3.0,24.0,2000,3.0,24.0,38.0,30.0,,,30.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,NGA,,,2000,3.0,23.0,2000,3.0,23.0,30.0,,,,,,56.51429055927763,,nan
2000,Technological,Transport,Road,IRN,,,2000,3.0,25.0,2000,3.0,25.0,13.0,10.0,,,10.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,IRN,,,2000,3.0,25.0,2000,3.0,25.0,16.0,6.0,,,6.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,ETH,,,2000,3.0,23.0,2000,3.0,23.0,10.0,20.0,,,20.0,,56.51429055927763,,nan
2000,Technological,Miscellaneous accident,Fire (Miscellaneous),UGA,,,2000,3.0,27.0,2000,3.0,27.0,,,,4000.0,4000.0,,56.51429055927763,,nan
2000,Technological,Transport,Water,ZAF,,,2000,3.0,25.0,2000,3.0,25.0,13.0,,,,,,56.51429055927763,,nan
2000,Natural,Meteorological,Storm,BGD,,,2000,3.0,5.0,2000,3.0,5.0,,50.0,,3000.0,3050.0,,56.51429055927763,,Kph
2000,Technological,Transport,Rail,IND,,,2000,3.0,8.0,2000,3.0,8.0,22.0,30.0,,,30.0,,56.51429055927763,,nan
2000,Technological,Industrial accident,Collapse (Industrial),SLE,,,2000,3.0,5.0,2000,3.0,5.0,150.0,,,,,,56.51429055927763,,m3
2000,Technological,Industrial accident,Gas leak,THA,,,2000,3.0,6.0,2000,3.0,6.0,1.0,194.0,200.0,,394.0,,56.51429055927763,,m3
2000,Natural,Hydrological,Flood,AGO,,,2000,3.0,27.0,2000,3.0,27.0,3.0,,,6000.0,6000.0,,56.51429055927763,,Km2
2000,Technological,Transport,Road,IRN,,,2000,3.0,29.0,2000,3.0,29.0,11.0,14.0,,,14.0,,56.51429055927763,,nan
2000,Technological,Industrial accident,Explosion (Industrial),CHN,,,2000,3.0,28.0,2000,3.0,28.0,17.0,6.0,,,6.0,,56.51429055927763,,m3
2000,Natural,Hydrological,Mass movement (wet),AUT,,,2000,3.0,28.0,2000,3.0,28.0,13.0,,,,,,56.51429055927763,,nan
2000,Natural,Meteorological,Storm,CHN,,,2000,3.0,28.0,2000,3.0,28.0,16.0,53.0,,,53.0,,56.51429055927763,79.0,Kph
2000,Technological,Transport,Road,KEN,,,2000,3.0,29.0,2000,3.0,29.0,101.0,61.0,,,61.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,NER,,,2000,3.0,6.0,2000,3.0,6.0,128.0,,1067.0,,1067.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,MYS,,,2000,1.0,,2000,1.0,,2.0,,480.0,,480.0,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,CMR,,,2000,1.0,,2000,1.0,,22.0,,65.0,,65.0,,56.51429055927763,,nan
2000,Technological,Miscellaneous accident,Fire (Miscellaneous),CHN,,,2000,3.0,29.0,2000,3.0,29.0,74.0,1.0,,,1.0,,56.51429055927763,,nan
2000,Natural,Meteorological,Storm,CHN,,,2000,1.0,10.0,2000,1.0,10.0,9.0,4.0,18000.0,,18004.0,5485.0,56.51429055927763,,Kph
2000,Natural,Hydrological,Mass movement (wet),RUS,,,2000,1.0,19.0,2000,1.0,19.0,20.0,,,,,,56.51429055927763,,nan
2000,Natural,Meteorological,Extreme temperature,RUS,,,2000,2.0,,2000,2.0,,13.0,252.0,,,252.0,,56.51429055927763,,°C
2000,Technological,Transport,Air,LKA,,,2000,3.0,30.0,2000,3.0,30.0,40.0,,,,,,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,CZE,,,2000,3.0,8.0,2000,3.0,13.0,,,,,,141557.0,56.51429055927763,,Km2
2000,Natural,Hydrological,Flood,ROU,,,2000,3.0,,2000,3.0,,,,3000.0,,3000.0,885.0,56.51429055927763,,Km2
2000,Technological,Industrial accident,Explosion (Industrial),UKR,,,2000,3.0,11.0,2000,3.0,11.0,80.0,7.0,,,7.0,,56.51429055927763,,m3
2000,Technological,Industrial accident,Explosion (Industrial),CHN,,,2000,3.0,10.0,2000,3.0,10.0,33.0,10.0,,,10.0,,56.51429055927763,,m3
2000,Technological,Transport,Road,CIV,,,2000,3.0,29.0,2000,3.0,29.0,40.0,10.0,,,10.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,CHN,,,2000,3.0,31.0,2000,3.0,31.0,25.0,23.0,,,23.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,KEN,,,2000,4.0,1.0,2000,4.0,1.0,10.0,50.0,,,50.0,,56.51429055927763,,nan
2000,Natural,Meteorological,Storm,USA,,,2000,3.0,28.0,2000,3.0,28.0,5.0,,3000.0,300.0,3300.0,796259.0,56.51429055927763,,Kph
2000,Natural,Geophysical,Volcanic activity,JPN,34.92,139.12,2000,3.0,31.0,2000,4.0,13.0,,,12400.0,,12400.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,BRA,,,2000,4.0,3.0,2000,4.0,3.0,17.0,,,,,,56.51429055927763,,nan
2000,Natural,Meteorological,Storm,MDG,,,2000,4.0,2.0,2000,4.0,2.0,23.0,1.0,369271.0,,369272.0,,56.51429055927763,300.0,Kph
2000,Natural,Meteorological,Storm,MOZ,,,2000,4.0,2.0,2000,4.0,2.0,1.0,4.0,,300.0,304.0,,56.51429055927763,,Kph
2000,Natural,Hydrological,Flood,RUS,,,2000,3.0,,2000,3.0,,,,19800.0,,19800.0,9330.0,56.51429055927763,,Km2
2000,Technological,Industrial accident,Explosion (Industrial),RUS,,,2000,3.0,22.0,2000,3.0,22.0,12.0,,,,,,56.51429055927763,,m3
2000,Technological,Transport,Air,PAN,,,2000,3.0,17.0,2000,3.0,17.0,10.0,,,,,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,CAF,,,2000,3.0,,2000,3.0,,108.0,,712.0,,712.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,BEN,,,2000,3.0,,2000,3.0,,15.0,,95.0,,95.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,BGD,,,2000,3.0,,2000,3.0,,,,3352.0,,3352.0,,56.51429055927763,,Vaccinated
2000,Natural,Biological,Epidemic,ZMB,,,2000,3.0,,2000,3.0,,,,123.0,,123.0,,56.51429055927763,,Vaccinated
2000,Natural,Hydrological,Flood,ROU,,,2000,4.0,5.0,2000,4.0,25.0,9.0,,60000.0,431.0,60431.0,176946.0,56.51429055927763,932.0,Km2
2000,Natural,Climatological,Wildfire,TUR,,,2000,4.0,5.0,2000,4.0,5.0,,,,350.0,350.0,,56.51429055927763,8.0,Km2
2000,Technological,Miscellaneous accident,Fire (Miscellaneous),CHN,,,2000,4.0,6.0,2000,4.0,6.0,13.0,2.0,,,2.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,COD,,,2000,4.0,6.0,2000,4.0,6.0,14.0,17.0,,,17.0,,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,HUN,,,2000,4.0,6.0,2000,5.0,1.0,1.0,,2000.0,,2000.0,97321.0,56.51429055927763,2500.0,Km2
2000,Technological,Transport,Road,MAR,,,2000,4.0,9.0,2000,4.0,9.0,10.0,20.0,,,20.0,,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,AGO,,,2000,4.0,10.0,2000,4.0,10.0,1.0,,,3000.0,3000.0,,56.51429055927763,,Km2
2000,Natural,Climatological,Wildfire,KOR,,,2000,4.0,6.0,2000,4.0,6.0,2.0,15.0,,840.0,855.0,,56.51429055927763,100.0,Km2
2000,Natural,Hydrological,Flood,SCG,,,2000,4.0,5.0,2000,4.0,25.0,,,4000.0,,4000.0,,56.51429055927763,100.0,Km2
2000,Natural,Biological,Epidemic,KEN,,,2000,2.0,20.0,2000,2.0,20.0,16.0,,229.0,,229.0,,56.51429055927763,,nan
2000,Natural,Biological,Epidemic,BEN,,,2000,2.0,,2000,2.0,,36.0,,435.0,,435.0,,56.51429055927763,,nan
2000,Technological,Industrial accident,Explosion (Industrial),CHN,,,2000,4.0,13.0,2000,4.0,13.0,12.0,,,,,,56.51429055927763,,m3
2000,Natural,Hydrological,Flood,CHN,,,2000,4.0,13.0,2000,4.0,17.0,15.0,,40000.0,,40000.0,21234.0,56.51429055927763,21000.0,Km2
2000,Technological,Transport,Road,GTM,,,2000,4.0,15.0,2000,4.0,15.0,31.0,45.0,,,45.0,,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,RUS,,,2000,4.0,14.0,2000,4.0,14.0,1.0,,23000.0,,23000.0,,56.51429055927763,,Km2
